n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization,rho,alpha,beta,pe_correlation,size_label,correlation_label
100,0.500000,0.400000,4.000000,10,196,98,1499,2612,GRASP-PR heuristic,28,28.000000,1,1090,0.039086,29,30.000000,1,14,4251.000000,2752.000000,0.951895,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,11,200,94,1637,2454,GRASP-PR heuristic,32,32.000000,1,0,0.009704,32,30.000000,1,14,4231.000000,2594.000000,0.876429,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,12,196,98,1555,2613,GRASP-PR heuristic,28,28.000000,1,0,0.009843,28,30.000000,1,16,4328.000000,2773.000000,0.833227,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,13,200,96,1605,2686,GRASP-PR heuristic,26,26.000000,1,0,0.010687,26,30.000000,1,15,4441.000000,2836.000000,0.895333,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,14,200,95,1529,2675,GRASP-PR heuristic,30,30.000000,1,0,0.010219,30,30.000000,1,15,4354.000000,2825.000000,0.891667,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,15,200,95,1657,2436,GRASP-PR heuristic,31,31.000000,1,0,0.009248,31,30.000000,1,14,4233.000000,2576.000000,0.870000,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,16,200,97,1506,2635,GRASP-PR heuristic,27,26.000000,0,575401,15.070787,27,30.000000,1,14,4281.000000,2775.000000,0.941071,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,17,200,98,1718,2800,GRASP-PR heuristic,28,28.000000,1,0,0.010708,28,30.000000,1,16,4678.000000,2960.000000,0.875000,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,18,196,97,1633,2608,GRASP-PR heuristic,27,26.000000,0,568832,15.084557,27,30.000000,1,14,4381.000000,2748.000000,0.950437,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,19,200,96,1553,2768,GRASP-PR heuristic,28,28.000000,1,0,0.010449,28,30.000000,1,16,4481.000000,2928.000000,0.865000,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,0,200,54,1576,2692,GRASP-PR heuristic,36,36.000000,1,0,0.009972,36,30.000000,1,16,4428.000000,2852.000000,0.841250,-1.000000,10.000000,1.000000,negative,robust,negative
100,0.500000,0.400000,4.000000,1,200,57,1480,2515,GRASP-PR heuristic,39,39.000000,1,0,0.009467,39,30.000000,1,15,4145.000000,2665.000000,0.838333,-1.000000,10.000000,1.000000,negative,robust,negative
100,0.500000,0.400000,4.000000,2,200,59,1683,2639,GRASP-PR heuristic,47,47.000000,1,0,0.009843,47,30.000000,1,16,4482.000000,2799.000000,0.824687,-1.000000,10.000000,1.000000,negative,robust,negative
