n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization,rho,alpha,beta,policy
40,0.500000,0.400000,3.000000,18,150,39,643,1063,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,200,0.431344,15,180.000000,1,11,4181.000000,3538.000000,0.644242,0.600000,225.000000,1.000000,partial
40,0.500000,0.400000,3.000000,19,147,39,612,1028,Full-recharge strengthened CPLEX MILP heuristic-start,15,15.000000,1,1622,1.401223,19,180.000000,1,11,4654.500000,4042.500000,0.635745,0.600000,220.500000,1.000000,full
40,0.500000,0.400000,3.000000,19,147,39,612,1028,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.089901,16,180.000000,1,10,3845.000000,3233.000000,0.699320,0.600000,220.500000,1.000000,partial
40,0.500000,0.400000,5.000000,0,250,40,508,1156,Full-recharge strengthened CPLEX MILP heuristic-start,15,15.000000,1,3471,5.307489,16,180.000000,1,8,3008.000000,2500.000000,0.578000,0.200000,62.500000,1.000000,full
40,0.500000,0.400000,5.000000,0,250,40,508,1156,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,57,0.199319,12,180.000000,1,6,2039.000000,1531.000000,0.770667,0.200000,62.500000,1.000000,partial
40,0.500000,0.400000,5.000000,1,245,40,580,1036,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,3140,5.251503,15,180.000000,1,9,3336.250000,2756.250000,0.469841,0.200000,61.250000,1.000000,full
40,0.500000,0.400000,5.000000,1,245,40,580,1036,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,0,0.059185,11,180.000000,1,5,1922.250000,1342.250000,0.845714,0.200000,61.250000,1.000000,partial
40,0.500000,0.400000,5.000000,2,250,40,726,1078,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,2164,4.191359,16,180.000000,1,8,3226.000000,2500.000000,0.539000,0.200000,62.500000,1.000000,full
40,0.500000,0.400000,5.000000,2,250,40,726,1078,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,0,0.044545,12,180.000000,1,6,2179.000000,1453.000000,0.718667,0.200000,62.500000,1.000000,partial
40,0.500000,0.400000,5.000000,3,250,40,621,955,Full-recharge strengthened CPLEX MILP heuristic-start,11,11.000000,1,1777,3.350137,12,180.000000,1,5,2183.500000,1562.500000,0.764000,0.200000,62.500000,1.000000,full
